[2025-08-19 02:33:36] [INFO    ] discord.client: logging in using static token
[2025-08-19 02:33:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-19 02:33:36] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-19 02:33:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1407101642209497158', 'username': 'Dengo_bot', 'avatar': None, 'discriminator': '0593', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-19 02:33:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-19 02:33:37] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-19 02:33:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1407101642209497158', 'name': 'Dengo_bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1407101642209497158', 'username': 'Dengo_bot', 'avatar': None, 'discriminator': '0593', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'a40846f565f5daa299e24dde47b7c578a5a6224c14f7fbf3be28d324cc96e72d', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '493116034686124042', 'username': '0001956', 'avatar': '1a0922d243c1694f38c39957a2831f43', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Смерть в нищите', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-08-19 02:33:37] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-19 02:33:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-45dc",{"micros":0.0}]']}}
[2025-08-19 02:33:37] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-19 02:33:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-19 02:33:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Dengo_bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1407101642209497158', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0593', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'ff0d77b4677eec8ae07a325772c5eb85', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1355766444742148257'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['stockholm', 'finland', 'warsaw', 'rotterdam', 'frankfurt'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1407101642209497158', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-45dc",{"micros":134819,"calls":["id_created",{"micros":384,"calls":[]},"session_lookup_time",{"micros":938,"calls":[]},"session_lookup_finished",{"micros":19,"calls":[]},"discord-sessions-prd-2-43",{"micros":133169,"calls":["start_session",{"micros":123624,"calls":["discord-api-rpc-566d94c47c-548wf",{"micros":49209,"calls":["get_user",{"micros":5028},"get_guilds",{"micros":7149},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":10782},"apex_experiments",{"micros":43832},"user_activities",{"micros":3},"played_application_ids",{"micros":1}]}]},"starting_guild_connect",{"micros":60,"calls":[]},"presence_started",{"micros":2875,"calls":[]},"guilds_started",{"micros":71,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":6518,"calls":[]},"connect_finished",{"micros":6521,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-08-19 02:33:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-19 02:33:37] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: ff0d77b4677eec8ae07a325772c5eb85).
[2025-08-19 02:33:37] [DEBUG   ] discord.client: Dispatching event connect
